"BehaviorSpace results (NetLogo 6.1.1)"
"Dissertation 10k.nlogo"
"experiment"
"08/08/2020 21:14:46:820 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","critically_ill_80+","confine_city_travel?","critically_ill_70-79","infection_duration_avg","fatality_rate_40-49","pop_0-9","metres_per_patch","critically_ill_10-19","pop_60-69","days_before_symptom_showing","mask_penetration_particles","critically_ill_20-29","fatality_rate_70-79","critically_ill_40-49","Total_lockdown?","fatality_rate_10-19","pop_30-39","maximum_infectious_distance","Cities","critically_ill_50-59","fatality_rate_20-29","Weather_conditions","pop_40-49","fatality_rate_80+","Afford_healthcare","critically_ill_0-9","lockdown_delay","social_distancing_metres","pop_80+","infectivity","fatality_rate_50-59","hospital_beds","pop_70-79","Essential_workers","symptomatic_isolation_rate","pop_10-19","use_mask_pop","fatality_rate_60-69","Intracity_traveller","critically_ill_30-39","random_seed_number","pop_20-29","critically_ill_60-69","fatality_rate_30-39","fatality_rate_0-9","pop_50-59","initial_infected_proportion","[step]","100 * count humans with [infected?] / total_population","100 * count humans with [infected? and not feel_symptoms?] / total_population","100 * count humans with [infected? and feel_symptoms?] / total_population","100 * count humans with [light_symptoms?] / total_population","100 * count humans with [severe_symptoms?] / total_population","100 * cumulative_death / total_population","100 * (count humans with [not infected? and not infected_previously?]) / total_population","100 * (count humans with [color = yellow] + count humans with [color = orange]) / total_population","100 * (count humans with [color = turquoise]) / total_population","100 * (cumulative_death) / total_population","cumulative_infected","cumulative_death","count humans with [not infected? and infected_previously?]","max pop_infected_daily"
"22","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","25","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","5086","0","0","0","0","0","1.54","3.24","0","95.22","1.54","9676","154","9522","51.34"
"23","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","25","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3441","0","0","0","0","0","1.5","3.57","0","94.93","1.5","9643","150","9493","47.12"
"25","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3782","0","0","0","0","0","1.49","5.5","0","93.01","1.49","9450","149","9301","35.53"
"27","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3792","0","0","0","0","0","1.65","4.69","0","93.66","1.65","9531","165","9366","41.01"
"26","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","4083","0","0","0","0","0","1.69","5.37","0","92.94","1.69","9463","169","9294","38.97"
"28","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","4515","0","0","0","0","0","1.57","6.19","0","92.24","1.57","9381","157","9224","39.47"
"30","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","4626","0","0","0","0","0","1.67","7.56","0","90.77","1.67","9244","167","9077","38.56"
"29","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","4791","0","0","0","0","0","1.41","6.95","0","91.64","1.41","9305","141","9164","36.95"
"32","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","5093","0","0","0","0","0","1.57","4.04","0","94.39","1.57","9596","157","9439","41.12"
"34","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","0","0","1000","100","5.88","0","1000","0","0","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3740","0","0","0","0","0","1.57","6.42","0","92.01","1.57","9358","157","9201","41.2"
